Date Time (EST), Gage Height (ft) from Continuous record, Gage Height (ft), Discharge (cfs) from Continuous record, Discharge (cfs)
\data
19810106  0:00,-9999,2.75,-9999,1.49
19810106  0:15,-9999,2.75,-9999,1.49
19810106  0:30,-9999,2.75,-9999,1.49
19810106  0:45,-9999,2.75,-9999,1.49
19810106  1:00,-9999,2.75,-9999,1.49
19810106  1:15,-9999,2.75,-9999,1.49
19810106  1:30,-9999,2.75,-9999,1.49
19810106  1:45,-9999,2.75,-9999,1.49
19810106  2:00,-9999,2.75,-9999,1.49
19810106  2:15,-9999,2.75,-9999,1.49
19810106  2:30,-9999,2.75,-9999,1.49
19810106  2:45,-9999,2.75,-9999,1.49
19810106  3:00,-9999,2.75,-9999,1.49
19810106  3:15,-9999,2.75,-9999,1.49
19810106  3:30,-9999,2.75,-9999,1.49
19810106  3:45,-9999,2.75,-9999,1.49
19810106  4:00,-9999,2.75,-9999,1.49
19810106  4:15,-9999,2.75,-9999,1.49
19810106  4:30,-9999,2.75,-9999,1.49
19810106  4:45,-9999,2.75,-9999,1.49
19810106  5:00,-9999,2.75,-9999,1.49
19810106  5:15,-9999,2.75,-9999,1.49
19810106  5:30,-9999,2.75,-9999,1.49
19810106  5:45,-9999,2.75,-9999,1.49
19810106  6:00,-9999,2.75,-9999,1.49
19810106  6:15,-9999,2.75,-9999,1.49
19810106  6:30,-9999,2.75,-9999,1.49
19810106  6:45,-9999,2.75,-9999,1.49
19810106  7:00,2.74,-9999,1.43,-9999
19810106  7:15,-9999,2.74,-9999,1.43
19810106  7:30,-9999,2.74,-9999,1.43
19810106  7:45,-9999,2.74,-9999,1.43
19810106  8:00,-9999,2.74,-9999,1.43
19810106  8:15,-9999,2.74,-9999,1.43
19810106  8:30,-9999,2.74,-9999,1.43
19810106  8:45,-9999,2.74,-9999,1.43
19810106  9:00,-9999,2.74,-9999,1.43
19810106  9:15,-9999,2.74,-9999,1.43
19810106  9:30,-9999,2.74,-9999,1.43
19810106  9:45,-9999,2.74,-9999,1.43
19810106 10:00,-9999,2.74,-9999,1.43
19810106 10:15,-9999,2.74,-9999,1.43
19810106 10:30,-9999,2.74,-9999,1.43
19810106 10:45,-9999,2.74,-9999,1.43
19810106 11:00,-9999,2.74,-9999,1.43
19810106 11:15,-9999,2.74,-9999,1.43
19810106 11:30,-9999,2.74,-9999,1.43
19810106 11:45,-9999,2.74,-9999,1.43
19810106 12:00,-9999,2.74,-9999,1.43
19810106 12:15,-9999,2.74,-9999,1.43
19810106 12:30,-9999,2.74,-9999,1.43
19810106 12:45,-9999,2.74,-9999,1.43
19810106 13:00,2.75,-9999,1.49,-9999
19810106 13:15,-9999,2.75,-9999,1.49
19810106 13:30,-9999,2.75,-9999,1.49
19810106 13:45,-9999,2.75,-9999,1.49
19810106 14:00,-9999,2.75,-9999,1.49
19810106 14:15,-9999,2.75,-9999,1.49
19810106 14:30,-9999,2.75,-9999,1.49
19810106 14:45,-9999,2.75,-9999,1.49
19810106 15:00,-9999,2.75,-9999,1.49
19810106 15:15,-9999,2.75,-9999,1.49
19810106 15:30,-9999,2.75,-9999,1.49
19810106 15:45,-9999,2.75,-9999,1.49
19810106 16:00,-9999,2.75,-9999,1.49
19810106 16:15,-9999,2.75,-9999,1.49
19810106 16:30,-9999,2.75,-9999,1.49
19810106 16:45,-9999,2.75,-9999,1.49
19810106 17:00,-9999,2.75,-9999,1.49
19810106 17:15,-9999,2.75,-9999,1.49
19810106 17:30,-9999,2.75,-9999,1.49
19810106 17:45,-9999,2.75,-9999,1.49
19810106 18:00,-9999,2.75,-9999,1.49
19810106 18:15,-9999,2.75,-9999,1.49
19810106 18:30,-9999,2.75,-9999,1.49
19810106 18:45,-9999,2.75,-9999,1.49
19810106 19:00,-9999,2.75,-9999,1.49
19810106 19:15,-9999,2.75,-9999,1.49
19810106 19:30,-9999,2.75,-9999,1.49
19810106 19:45,-9999,2.75,-9999,1.49
19810106 20:00,-9999,2.75,-9999,1.49
19810106 20:15,-9999,2.75,-9999,1.49
19810106 20:30,-9999,2.75,-9999,1.49
19810106 20:45,-9999,2.75,-9999,1.49
19810106 21:00,-9999,2.75,-9999,1.49
19810106 21:15,-9999,2.75,-9999,1.49
